impl,topology,n_ranks,evaluator,N,D,iters,seed,final_gbest,total_ms
single,none,1,rastrigin,1024,30,500,42,49.747841,13.309
mpi,ring,1,rastrigin,1024,30,500,42,42.783207,75.043
mpi,fc,1,rastrigin,1024,30,500,42,46.762962,75.682
mpi,ring,2,rastrigin,1024,30,500,42,21.889114,179.808
mpi,fc,2,rastrigin,1024,30,500,42,21.889114,95.084
mpi,ring,4,rastrigin,1024,30,500,42,13.92943,229.879
mpi,fc,4,rastrigin,1024,30,500,42,13.929499,112.705
single,none,1,levy,1024,30,500,42,7.6427419e-15,17.855
mpi,ring,1,levy,1024,30,500,42,7.6427419e-15,79.566
mpi,fc,1,levy,1024,30,500,42,7.6427419e-15,77.139
mpi,ring,2,levy,1024,30,500,42,7.6427419e-15,113.035
mpi,fc,2,levy,1024,30,500,42,7.6427419e-15,101.466
mpi,ring,4,levy,1024,30,500,42,7.6427419e-15,120.492
mpi,fc,4,levy,1024,30,500,42,7.6427419e-15,122.308
