impl,topology,n_ranks,evaluator,N,D,iters,seed,final_gbest,total_ms
single,none,1,rastrigin,524288,100,500,42,165.43332,3643.277
mpi,ring,1,rastrigin,524288,100,500,42,187.25142,6215.069
mpi,fc,1,rastrigin,524288,100,500,42,193.46893,5962.124
mpi,ring,2,rastrigin,524288,100,500,42,130.49052,6959.522
mpi,fc,2,rastrigin,524288,100,500,42,142.10616,6939.547
mpi,ring,4,rastrigin,524288,100,500,42,135.32596,6311.807
mpi,fc,4,rastrigin,524288,100,500,42,125.82795,6159.288
mpi,ring,8,rastrigin,524288,100,500,42,102.37624,6702.426
mpi,fc,8,rastrigin,524288,100,500,42,77.473648,17049.520
mpi,ring,16,rastrigin,524288,100,500,42,108.54451,6688.280
mpi,fc,16,rastrigin,524288,100,500,42,88.635788,56805.613
mpi,ring,4,levy,524288,100,500,42,7.6427419e-15,6296.233
single,none,1,rastrigin,131072,300,500,42,1402.27,2823.874
mpi,ring,1,rastrigin,131072,300,500,42,1335.6238,5058.392
mpi,fc,1,rastrigin,131072,300,500,42,3359.4368,4713.897
mpi,ring,2,rastrigin,131072,300,500,42,1389.8063,5459.150
mpi,fc,2,rastrigin,131072,300,500,42,1400.6141,5465.551
mpi,ring,4,rastrigin,131072,300,500,42,1488.0577,5062.836
mpi,fc,4,rastrigin,131072,300,500,42,1503.4979,5068.942
mpi,ring,8,rastrigin,131072,300,500,42,1479.2478,5500.036
mpi,fc,8,rastrigin,131072,300,500,42,1353.1721,12479.844
mpi,ring,16,rastrigin,131072,300,500,42,1332.8927,5606.690
mpi,fc,16,rastrigin,131072,300,500,42,1329.4675,40369.117
mpi,ring,4,levy,131072,300,500,42,4.561017,5089.981
