iter,gbest
0,47.767277
1,23.458845
2,23.458845
3,17.985174
4,13.02647
5,13.02647
6,11.167216
7,9.4942684
8,9.4416742
9,7.7953486
10,5.7372603
11,5.7372603
12,5.245573
13,4.0836082
14,3.4624352
15,3.2379827
16,2.8026762
17,2.5539372
18,2.2882056
19,2.0296187
20,1.8090166
21,1.2324667
22,1.0420378
23,0.64357948
24,0.55160475
25,0.46427658
26,0.39961904
27,0.39961904
28,0.34979343
29,0.31468105
30,0.31468105
31,0.27096176
32,0.19384784
33,0.16368146
34,0.16308743
35,0.13364905
36,0.12075167
37,0.11614743
38,0.096055806
39,0.081986807
40,0.071596809
41,0.06462127
42,0.057282858
43,0.051940408
44,0.037181415
45,0.035601389
46,0.023794537
47,0.023794537
48,0.023794537
49,0.023794537
50,0.020877033
51,0.016945297
52,0.016823618
53,0.011287879
54,0.011287879
55,0.0084578386
56,0.0067650732
57,0.0067650732
58,0.0062312586
59,0.0060961582
60,0.004833146
61,0.004833146
62,0.0039949859
63,0.0035851097
64,0.0033339818
65,0.0032034388
66,0.0021039455
67,0.002082176
68,0.0018924985
69,0.0017489679
70,0.0017151397
71,0.0014806609
72,0.0014413706
73,0.00097067753
74,0.00081829936
75,0.00071111706
76,0.00069763069
77,0.00048600833
78,0.00044599263
79,0.00044599263
80,0.00044599263
81,0.00038470366
82,0.00034329057
83,0.0003064005
84,0.00022592836
85,0.00022592836
86,0.00021026455
87,0.00017947138
88,0.00017947138
89,0.00016162469
90,0.00013575552
91,0.00011997631
92,0.00011997631
93,0.00011997631
94,9.3310875e-05
95,8.240532e-05
96,7.4464537e-05
97,7.4464537e-05
98,7.2067705e-05
99,6.2106701e-05
100,4.1070762e-05
101,4.003854e-05
102,3.1515207e-05
103,3.1515207e-05
104,3.0175544e-05
105,2.7038346e-05
106,2.5997786e-05
107,2.0281466e-05
108,1.9424368e-05
109,1.7339536e-05
110,1.7109018e-05
111,1.2437135e-05
112,1.2437135e-05
113,1.0869481e-05
114,1.0869481e-05
115,1.0238491e-05
116,1.0152433e-05
117,9.0914864e-06
118,7.7959003e-06
119,6.7665742e-06
120,6.6056673e-06
121,6.5567274e-06
122,6.5567274e-06
123,4.9931868e-06
124,4.559326e-06
125,4.2934021e-06
126,4.2934021e-06
127,3.6723709e-06
128,3.5836244e-06
129,3.0581332e-06
130,2.7568312e-06
131,2.010235e-06
132,2.010235e-06
133,2.010235e-06
134,1.6904918e-06
135,1.428965e-06
136,1.2282295e-06
137,1.2282295e-06
138,1.1290483e-06
139,1.1055745e-06
140,7.3809201e-07
141,7.3809201e-07
142,5.4067505e-07
143,5.4067505e-07
144,5.4067505e-07
145,5.4067505e-07
146,4.3612789e-07
147,4.3612789e-07
148,4.2916272e-07
149,3.3541542e-07
150,2.7409536e-07
151,2.0590613e-07
152,2.0590613e-07
153,1.9764079e-07
154,1.6246979e-07
155,1.6134697e-07
156,1.0847086e-07
157,1.0847086e-07
158,1.0847086e-07
159,9.4509453e-08
160,8.2217255e-08
161,5.4574773e-08
162,5.2705587e-08
163,5.2705587e-08
164,4.7738187e-08
165,4.4727479e-08
166,3.1908698e-08
167,2.8761498e-08
168,2.4572714e-08
169,2.0515913e-08
170,1.4261722e-08
171,1.4261722e-08
172,1.4261722e-08
173,1.1947055e-08
174,8.669951e-09
175,8.1996738e-09
176,8.1996738e-09
177,8.1996738e-09
178,7.7893318e-09
179,7.3429303e-09
180,7.0607351e-09
181,6.1548282e-09
182,5.4629981e-09
183,4.7384487e-09
184,4.2076786e-09
185,4.2076786e-09
186,3.9322274e-09
187,3.2459491e-09
188,2.983586e-09
189,2.7336917e-09
190,2.410526e-09
191,2.2634623e-09
192,2.1889031e-09
193,1.6440759e-09
194,1.6440759e-09
195,1.6440759e-09
196,1.5631261e-09
197,1.2687151e-09
