D,N,ranks,category,name,total_ms,percent
30,1024,1,api,cudaMemcpyFromSymbol,7.3830,37.00
30,1024,1,api,cudaMemcpy,5.5726,27.90
30,1024,1,api,cudaLaunchKernel,4.5291,22.70
30,1024,1,api,cudaEventRecord,1.0391,5.20
30,1024,1,api,cudaMalloc,0.3786,1.90
30,1024,1,api,cudaFree,0.2907,1.50
30,1024,1,api,cudaEventCreate,0.2730,1.40
30,1024,1,api,cuGetProcAddress_v2,0.1686,0.80
30,1024,1,api,cudaEventDestroy,0.1664,0.80
30,1024,1,api,cudaDeviceSynchronize,0.1299,0.70
30,1024,1,api,cudaMemset,0.0092,0.00
30,1024,1,api,cuModuleGetLoadingMode,0.0046,0.00
30,1024,1,api,cudaEventSynchronize,0.0039,0.00
30,1024,1,api,cuInit,0.0037,0.00
30,1024,1,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",1.0045,52.70
30,1024,1,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",0.3300,17.30
30,1024,1,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.1841,9.70
30,1024,1,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",0.1514,7.90
30,1024,1,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1257,6.60
30,1024,1,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",0.1049,5.50
30,1024,1,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",0.0039,0.20
30,1024,1,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0012,0.10
30,1024,2,api,cudaMemcpyFromSymbol,12.6224,37.00
30,1024,2,api,cudaLaunchKernel,7.2021,21.10
30,1024,2,api,cudaMemcpy,4.9060,14.40
30,1024,2,api,cudaMalloc,4.6215,13.60
30,1024,2,api,cudaFree,2.6267,7.70
30,1024,2,api,cudaEventRecord,1.1917,3.50
30,1024,2,api,cudaEventCreate,0.3882,1.10
30,1024,2,api,cudaEventDestroy,0.2367,0.70
30,1024,2,api,cudaDeviceSynchronize,0.1363,0.40
30,1024,2,api,cuGetProcAddress_v2,0.1333,0.40
30,1024,2,api,cudaMemset,0.0117,0.00
30,1024,2,api,cudaEventSynchronize,0.0062,0.00
30,1024,2,api,cuModuleGetLoadingMode,0.0048,0.00
30,1024,2,api,cuInit,0.0032,0.00
30,1024,2,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",1.0445,53.90
30,1024,2,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",0.3274,16.90
30,1024,2,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.1829,9.40
30,1024,2,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",0.1500,7.70
30,1024,2,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1245,6.40
30,1024,2,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",0.1045,5.40
30,1024,2,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",0.0037,0.20
30,1024,2,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0012,0.10
30,1024,4,api,cudaMemcpyFromSymbol,14.5857,50.90
30,1024,4,api,cudaLaunchKernel,5.7979,20.20
30,1024,4,api,cudaMemcpy,4.9060,17.10
30,1024,4,api,cudaEventRecord,1.2434,4.30
30,1024,4,api,cudaMalloc,0.7349,2.60
30,1024,4,api,cudaFree,0.4855,1.70
30,1024,4,api,cudaEventCreate,0.3726,1.30
30,1024,4,api,cuGetProcAddress_v2,0.1889,0.70
30,1024,4,api,cudaEventDestroy,0.1803,0.60
30,1024,4,api,cudaDeviceSynchronize,0.1329,0.50
30,1024,4,api,cudaMemset,0.0154,0.10
30,1024,4,api,cuModuleGetLoadingMode,0.0042,0.00
30,1024,4,api,cudaEventSynchronize,0.0040,0.00
30,1024,4,api,cuInit,0.0035,0.00
30,1024,4,kernel,"kernel_eval_and_pbest(const float *, float *, float *, float *, float (*)(const float *, int), int,…",0.9815,52.30
30,1024,4,kernel,"kernel_draw_rng(curandStateXORWOW *, float *, float *, int, int)",0.3272,17.40
30,1024,4,kernel,void cub::CUB_200200_750_NS::DeviceReduceSingleTileKernel<cub::CUB_200200_750_NS::DeviceReducePolic…,0.1829,9.80
30,1024,4,kernel,"kernel_update(float *, float *, const float *, const float *, const float *, const int *, float, fl…",0.1501,8.00
30,1024,4,kernel,"kernel_commit_gbest(const ReduceResult *, float *, int *, float *, int, int)",0.1250,6.70
30,1024,4,kernel,"kernel_curand_init(curandStateXORWOW *, unsigned long long, int)",0.1040,5.50
30,1024,4,kernel,"kernel_swarm_init(float *, float *, float *, float *, float *, curandStateXORWOW *, float, float, i…",0.0039,0.20
30,1024,4,kernel,"kernel_gather_gbest_pos(const float *, float *, const int *, int, int)",0.0012,0.10
30,1024,8,api,cudaMemcpyFromSymbol,12.9118,39.20
30,1024,8,api,cudaLaunchKernel,10.8409,32.90
30,1024,8,api,cudaMemcpy,4.8812,14.80
30,1024,8,api,cudaEventRecord,1.2295,3.70
30,1024,8,api,cudaFree,1.1648,3.50
30,1024,8,api,cudaMalloc,0.9600,2.90
