impl,evaluator,N,D,iters,seed,eval_ms,reduce_ms,update_ms,total_ms,final_gbest,achieved_bw_gbps,achieved_gflops
gpu,rastrigin,256,10,1000,1,6.462890,6.054054,5.562018,18.078962,1.9899149,4.021470,2.832021
gpu,rastrigin,256,10,1000,2,6.304485,6.485188,5.436800,18.226473,0.99495697,3.988923,2.809101
gpu,rastrigin,256,10,1000,3,6.323687,6.343976,5.425825,18.093489,0.99495697,4.018241,2.829747
gpu,rastrigin,256,10,1000,4,6.258755,6.437218,5.431264,18.127235,3.9798288,4.010761,2.824479
gpu,rastrigin,256,10,1000,5,6.195333,6.446944,5.470883,18.113161,0.99495697,4.013877,2.826674
gpu,rastrigin,256,30,1000,1,10.663031,5.298496,4.750974,20.712502,35.818474,10.431574,7.415811
gpu,rastrigin,256,30,1000,2,11.056867,5.193668,4.793756,21.044291,72.631676,10.267108,7.298892
gpu,rastrigin,256,30,1000,3,10.988361,5.279037,4.764479,21.031878,107.45506,10.273167,7.303200
gpu,rastrigin,256,30,1000,4,11.324170,5.295677,4.780959,21.400805,66.661957,10.096069,7.177300
gpu,rastrigin,256,30,1000,5,10.812072,5.215172,4.751234,20.778479,68.651932,10.398451,7.392264
gpu,rastrigin,256,100,1000,1,41.056301,6.342819,7.536032,54.935154,476.93851,13.066751,9.320079
gpu,rastrigin,256,100,1000,2,41.271133,6.248030,7.528292,55.047459,610.97614,13.040093,9.301065
gpu,rastrigin,256,100,1000,3,41.165668,6.506626,7.563271,55.235565,457.69138,12.995685,9.269390
gpu,rastrigin,256,100,1000,4,41.222744,6.347807,7.532391,55.102940,492.73267,13.026964,9.291700
gpu,rastrigin,256,100,1000,5,41.213161,6.373281,7.531305,55.117744,464.72134,13.023465,9.289205
gpu,rastrigin,1024,10,1000,1,6.183811,5.569639,6.427653,18.181103,0.99495697,15.995509,11.264443
gpu,rastrigin,1024,10,1000,2,6.169031,5.805130,6.508715,18.482876,0.99495697,15.734348,11.080527
gpu,rastrigin,1024,10,1000,3,6.239549,5.681092,6.444396,18.365038,0,15.835306,11.151624
gpu,rastrigin,1024,10,1000,4,6.117086,5.679909,6.467911,18.264906,0,15.922119,11.212760
gpu,rastrigin,1024,10,1000,5,6.167620,5.611622,6.268201,18.047443,0,16.113972,11.347868
gpu,rastrigin,1024,30,1000,1,11.737213,5.738796,8.466064,25.942074,69.646805,33.314839,23.683534
gpu,rastrigin,1024,30,1000,2,11.868630,5.720932,8.461418,26.050980,30.843731,33.175566,23.584526
gpu,rastrigin,1024,30,1000,3,12.114699,5.728996,8.463407,26.307102,25.868935,32.852573,23.354910
gpu,rastrigin,1024,30,1000,4,11.334185,5.714888,8.458822,25.507895,26.863876,33.881903,24.086661
gpu,rastrigin,1024,30,1000,5,11.232488,5.629095,8.482501,25.344086,52.732571,34.100895,24.242342
gpu,rastrigin,1024,100,1000,1,41.793983,6.945959,22.220505,70.960449,382.06418,40.463329,28.861148
gpu,rastrigin,1024,100,1000,2,39.541649,6.622307,22.070805,68.234756,488.52557,42.079669,30.014030
gpu,rastrigin,1024,100,1000,3,41.512058,6.963714,22.047323,70.523094,477.57809,40.714266,29.040133
gpu,rastrigin,1024,100,1000,4,39.954834,6.741956,21.972057,68.668846,420.94354,41.813663,29.824296
gpu,rastrigin,1024,100,1000,5,41.090706,6.949573,22.064693,70.104973,470.61594,40.957095,29.213334
gpu,rastrigin,4096,10,1000,1,6.211706,7.125250,9.760124,23.097080,0,50.364115,35.467686
gpu,rastrigin,4096,10,1000,2,6.179454,7.086142,9.696193,22.961788,0,50.660863,35.676664
gpu,rastrigin,4096,10,1000,3,6.233891,7.107994,9.740697,23.082581,0,50.395752,35.489966
gpu,rastrigin,4096,10,1000,4,6.245797,7.151266,9.781207,23.178268,0,50.187701,35.343451
gpu,rastrigin,4096,10,1000,5,6.227426,7.131231,9.737839,23.096497,0,50.365387,35.468583
gpu,rastrigin,4096,30,1000,1,13.475902,7.754917,34.320576,55.551392,20.894167,62.231096,44.240116
gpu,rastrigin,4096,30,1000,2,13.585910,7.653416,34.187283,55.426609,20.894119,62.371198,44.339714
gpu,rastrigin,4096,30,1000,3,13.377996,7.663913,34.354904,55.396812,18.904243,62.404746,44.363563
gpu,rastrigin,4096,30,1000,4,12.971615,7.686660,34.301361,54.959637,18.904221,62.901144,44.716453
gpu,rastrigin,4096,30,1000,5,13.803286,7.704491,34.266281,55.774055,12.934464,61.982654,44.063498
gpu,rastrigin,4096,100,1000,1,43.556786,8.320226,110.216293,162.093307,408.99707,70.855387,50.538792
gpu,rastrigin,4096,100,1000,2,42.097904,8.242978,110.424919,160.765808,356.19351,71.440464,50.956109
gpu,rastrigin,4096,100,1000,3,42.923565,8.234219,110.080719,161.238495,444.74429,71.231030,50.806726
gpu,rastrigin,4096,100,1000,4,41.802570,8.186883,110.082848,160.072296,493.49655,71.749980,51.176876
gpu,rastrigin,4096,100,1000,5,43.518044,8.236358,110.094612,161.849014,370.12292,70.962335,50.615075
gpu,rastrigin,16384,10,1000,1,7.390025,7.651556,45.954845,60.996429,0,76.284072,53.721177
gpu,rastrigin,16384,10,1000,2,7.439525,7.508803,46.049503,60.997833,0,76.282316,53.719941
gpu,rastrigin,16384,10,1000,3,7.392516,7.567748,46.292542,61.252808,0,75.964779,53.496323
gpu,rastrigin,16384,10,1000,4,7.461089,7.500649,46.380436,61.342175,0,75.854109,53.418387
gpu,rastrigin,16384,10,1000,5,7.508578,7.520166,46.218899,61.247643,0,75.971185,53.500835
gpu,rastrigin,16384,30,1000,1,23.224230,7.771564,132.466125,163.461914,16.914375,84.595216,60.138779
gpu,rastrigin,16384,30,1000,2,22.197615,7.778149,132.475555,162.451324,14.924394,85.121473,60.512895
gpu,rastrigin,16384,30,1000,3,21.334173,7.790211,132.650024,161.774414,7.9611235,85.477645,60.766099
gpu,rastrigin,16384,30,1000,4,21.403625,7.669502,132.843216,161.916351,16.914307,85.402715,60.712831
gpu,rastrigin,16384,30,1000,5,22.189634,7.751776,132.695923,162.637329,10.944557,85.024121,60.443688
gpu,rastrigin,16384,100,1000,1,117.368446,8.986705,436.605103,562.960266,280.57684,81.605646,58.206595
gpu,rastrigin,16384,100,1000,2,118.856163,9.154115,435.645813,563.656128,209.93582,81.504899,58.134736
gpu,rastrigin,16384,100,1000,3,118.899597,9.118001,435.578705,563.596313,221.87448,81.513550,58.140905
gpu,rastrigin,16384,100,1000,4,115.136208,8.815887,436.337494,560.289612,288.53641,81.994624,58.484040
gpu,rastrigin,16384,100,1000,5,121.024040,9.239155,436.746796,567.010010,250.72836,81.022795,57.790867
gpu,levy,256,10,1000,1,9.840007,5.200926,4.723748,19.764681,7.6427419e-15,3.678481,2.590479
gpu,levy,256,10,1000,2,9.818503,5.208735,4.721190,19.748428,7.6427419e-15,3.681508,2.592611
gpu,levy,256,10,1000,3,9.852371,5.234298,4.702115,19.788784,7.6427419e-15,3.674000,2.587324
gpu,levy,256,10,1000,4,9.817863,5.172217,4.680072,19.670153,7.6427419e-15,3.696158,2.602928
gpu,levy,256,10,1000,5,9.854352,5.203710,4.721961,19.780024,7.6427419e-15,3.675628,2.588470
gpu,levy,256,30,1000,1,20.580736,5.343554,4.840316,30.764606,7.6427419e-15,7.023136,4.992750
gpu,levy,256,30,1000,2,20.860401,5.495587,4.821636,31.177624,7.6427419e-15,6.930098,4.926610
gpu,levy,256,30,1000,3,20.698948,5.351140,4.840835,30.890923,7.6427419e-15,6.994417,4.972335
gpu,levy,256,30,1000,4,21.421696,5.508991,4.787968,31.718655,7.6427419e-15,6.811890,4.842576
gpu,levy,256,30,1000,5,20.774151,5.293794,4.818083,30.886026,7.6427419e-15,6.995526,4.973123
gpu,levy,256,100,1000,1,64.540688,6.569034,7.645134,78.754852,0.95043278,9.114664,6.501187
gpu,levy,256,100,1000,2,64.844635,6.697987,7.634377,79.176994,0.90562326,9.066068,6.466525
gpu,levy,256,100,1000,3,64.802269,6.673992,7.655979,79.132233,4.0882668,9.071196,6.470183
gpu,levy,256,100,1000,4,64.809326,6.725511,7.655241,79.190079,0.97521693,9.064570,6.465456
gpu,levy,256,100,1000,5,64.768265,6.765285,7.600841,79.134384,3.1301427,9.070949,6.470007
gpu,levy,1024,10,1000,1,9.938893,5.689928,5.982086,21.610907,7.6427419e-15,13.456909,9.476696
gpu,levy,1024,10,1000,2,9.868521,5.662086,5.931980,21.462585,7.6427419e-15,13.549905,9.542187
gpu,levy,1024,10,1000,3,9.902376,5.673189,5.957416,21.532982,7.6427419e-15,13.505607,9.510991
gpu,levy,1024,10,1000,4,9.874860,5.680583,5.981963,21.537407,7.6427419e-15,13.502833,9.509037
gpu,levy,1024,10,1000,5,9.878730,5.705542,5.945033,21.529305,7.6427419e-15,13.507914,9.512616
gpu,levy,1024,30,1000,1,20.763279,5.860899,8.502763,35.126942,7.6427419e-15,24.603793,17.490848
gpu,levy,1024,30,1000,2,20.333307,5.690534,8.680905,34.704746,0.97371137,24.903107,17.703630
gpu,levy,1024,30,1000,3,20.788612,5.790787,8.653805,35.233204,7.6427419e-15,24.529589,17.438096
gpu,levy,1024,30,1000,4,20.737495,5.839820,8.732521,35.309837,7.6427419e-15,24.476352,17.400250
gpu,levy,1024,30,1000,5,20.685972,5.834184,8.500141,35.020298,7.6427419e-15,24.678716,17.544111
gpu,levy,1024,100,1000,1,65.496780,7.363687,21.622417,94.482880,1.3746195e-07,30.389590,21.675885
gpu,levy,1024,100,1000,2,65.340393,7.262689,22.326153,94.929230,1.9663646,30.246701,21.573966
gpu,levy,1024,100,1000,3,65.212059,7.321317,21.737822,94.271202,0.97371542,30.457827,21.724556
gpu,levy,1024,100,1000,4,65.462662,7.330632,22.247795,95.041092,1.868111e-06,30.211101,21.548574
gpu,levy,1024,100,1000,5,65.426437,7.394823,21.677149,94.498405,1.966223e-07,30.384597,21.672323
gpu,levy,4096,10,1000,1,10.071718,7.181092,9.875859,27.128670,7.6427419e-15,42.879508,30.196836
gpu,levy,4096,10,1000,2,10.045016,7.215137,9.913429,27.173582,7.6427419e-15,42.808637,30.146927
gpu,levy,4096,10,1000,3,10.062236,7.243649,9.962941,27.268826,7.6427419e-15,42.659116,30.041631
gpu,levy,4096,10,1000,4,10.049627,7.258910,9.978772,27.287308,7.6427419e-15,42.630222,30.021283
gpu,levy,4096,10,1000,5,10.076892,7.251101,9.976089,27.304081,7.6427419e-15,42.604034,30.002841
gpu,levy,4096,30,1000,1,21.961378,7.796173,34.854019,64.611572,7.6427419e-15,53.504719,38.036530
