impl,evaluator,N,D,iters,seed,eval_ms,reduce_ms,update_ms,total_ms,final_gbest,achieved_bw_gbps,achieved_gflops
gpu,rastrigin,256,10,1000,1,7.200238,6.687371,7.665805,21.553413,0.99495697,3.373201,2.375494
gpu,rastrigin,256,10,1000,2,7.056716,6.372579,7.245853,20.675148,2.9848719,3.516492,2.476403
gpu,rastrigin,256,10,1000,3,7.000528,6.491301,7.296037,20.787865,0.99495697,3.497425,2.462975
gpu,rastrigin,256,10,1000,4,7.640648,6.460454,7.242021,21.343124,0,3.406437,2.398899
gpu,rastrigin,256,10,1000,5,6.973708,6.490884,7.349188,20.813780,2.9848709,3.493070,2.459909
gpu,rastrigin,256,30,1000,1,11.062250,5.030689,6.794413,22.887352,50.742653,9.440323,6.711130
gpu,rastrigin,256,30,1000,2,12.151399,5.019776,6.847201,24.018375,39.798328,8.995779,6.395104
gpu,rastrigin,256,30,1000,3,11.815116,4.976385,6.806784,23.598284,48.752926,9.155920,6.508948
gpu,rastrigin,256,30,1000,4,11.309955,5.043365,6.825672,23.178993,50.742821,9.321544,6.626690
gpu,rastrigin,256,30,1000,5,11.000837,5.039522,6.856003,22.896362,48.75296,9.436608,6.708489
gpu,rastrigin,256,100,1000,1,41.165756,5.059295,9.762580,55.987633,425.8508,12.821117,9.144877
gpu,rastrigin,256,100,1000,2,41.666069,5.312224,9.724479,56.702774,437.79703,12.659416,9.029541
gpu,rastrigin,256,100,1000,3,41.110477,5.209723,9.754400,56.074600,399.0014,12.801233,9.130694
gpu,rastrigin,256,100,1000,4,41.214828,5.249696,9.755006,56.219528,365.15576,12.768232,9.107156
gpu,rastrigin,256,100,1000,5,41.237301,5.135684,9.740538,56.113525,457.68518,12.792353,9.124360
gpu,rastrigin,1024,10,1000,1,7.117010,6.388006,7.409316,20.914331,0,13.905106,9.792328
gpu,rastrigin,1024,10,1000,2,7.023600,6.408804,7.309507,20.741911,0,14.020695,9.873729
gpu,rastrigin,1024,10,1000,3,7.019535,6.225354,7.215646,20.460535,0,14.213509,10.009513
gpu,rastrigin,1024,10,1000,4,6.980492,6.300681,7.244767,20.525940,0,14.168218,9.977619
gpu,rastrigin,1024,10,1000,5,7.003563,6.235048,7.216070,20.454681,0,14.217577,10.012378
gpu,rastrigin,1024,30,1000,1,11.412081,5.507433,7.214595,24.134109,60.692375,35.810561,25.457745
gpu,rastrigin,1024,30,1000,2,12.324289,5.521771,7.291212,25.137274,35.818466,34.381453,24.441791
gpu,rastrigin,1024,30,1000,3,12.214267,5.490116,7.239010,24.943394,42.78299,34.648693,24.631773
gpu,rastrigin,1024,30,1000,4,12.485907,5.544137,7.318818,25.348862,23.879036,34.094470,24.237775
gpu,rastrigin,1024,30,1000,5,12.055401,5.500038,7.222719,24.778158,45.768063,34.879751,24.796032
gpu,rastrigin,1024,100,1000,1,40.965508,5.548199,10.696729,57.210434,417.88086,50.188328,35.797666
gpu,rastrigin,1024,100,1000,2,40.282162,5.601290,10.877352,56.760803,421.86258,50.585894,36.081237
gpu,rastrigin,1024,100,1000,3,39.597012,5.570978,10.692908,55.860901,467.69946,51.400818,36.662495
gpu,rastrigin,1024,100,1000,4,37.569023,5.525127,10.719794,53.813946,502.45483,53.355983,38.057050
gpu,rastrigin,1024,100,1000,5,40.573704,5.606209,10.659792,56.839706,337.28979,50.515673,36.031150
gpu,rastrigin,4096,10,1000,1,6.843046,9.436469,7.726383,24.005898,0,48.457426,34.124948
