impl,evaluator,N,D,iters,seed,total_ms,best_value,best_position0
cpu,rastrigin,256,10,500,1,206.813,5.96975,6.37529e-06
cpu,rastrigin,256,10,500,2,206.745,0,2.47572e-05
cpu,rastrigin,256,10,500,3,206.632,0.994957,3.6104e-06
cpu,rastrigin,256,30,500,1,617.597,40.7933,-0.994905
cpu,rastrigin,256,30,500,2,616.982,19.8992,-5.9192e-05
cpu,rastrigin,256,30,500,3,616.328,65.6672,-1.98991
cpu,rastrigin,1024,10,500,1,828.324,0,2.77032e-05
cpu,rastrigin,1024,10,500,2,828.731,1.98991,1.45428e-05
cpu,rastrigin,1024,10,500,3,829.617,1.98991,-1.89282e-05
cpu,rastrigin,1024,30,500,1,2496.19,34.8235,-0.995028
cpu,rastrigin,1024,30,500,2,2496.98,29.8488,1.98993
cpu,rastrigin,1024,30,500,3,2489.52,34.8235,-5.232e-05
cpu,levy,256,10,500,1,208.828,7.64274e-15,1
cpu,levy,256,10,500,2,209.622,7.64274e-15,1
cpu,levy,256,10,500,3,208.886,7.64274e-15,1
cpu,levy,256,30,500,1,620.841,7.64274e-15,1
cpu,levy,256,30,500,2,621.161,7.64274e-15,1
cpu,levy,256,30,500,3,620.92,0.973711,0.999924
cpu,levy,1024,10,500,1,837.736,7.64274e-15,1
cpu,levy,1024,10,500,2,837.695,7.64274e-15,1
cpu,levy,1024,10,500,3,838.382,7.64274e-15,1
cpu,levy,1024,30,500,1,2523.52,7.64274e-15,1
cpu,levy,1024,30,500,2,2532.55,7.64274e-15,1
cpu,levy,1024,30,500,3,2524.95,7.64274e-15,1
