impl,evaluator,N,D,iters,seed,total_ms,best_value,best_position0
cpu,rastrigin,256,10,500,1,206.304,5.96975,6.37529e-06
cpu,rastrigin,256,10,500,2,206.34,0,2.47572e-05
cpu,rastrigin,256,10,500,3,206.194,0.994957,3.6104e-06
cpu,rastrigin,256,30,500,1,616.299,40.7933,-0.994905
cpu,rastrigin,256,30,500,2,616.029,19.8992,-5.9192e-05
cpu,rastrigin,256,30,500,3,615.39,65.6672,-1.98991
cpu,rastrigin,1024,10,500,1,827.178,0,2.77032e-05
cpu,rastrigin,1024,10,500,2,827.468,1.98991,1.45428e-05
cpu,rastrigin,1024,10,500,3,828.603,1.98991,-1.89282e-05
cpu,rastrigin,1024,30,500,1,2489.07,34.8235,-0.995028
cpu,rastrigin,1024,30,500,2,2497.74,29.8488,1.98993
cpu,rastrigin,1024,30,500,3,2489.61,34.8235,-5.232e-05
cpu,levy,256,10,500,1,208.267,7.64274e-15,1
cpu,levy,256,10,500,2,208.502,7.64274e-15,1
cpu,levy,256,10,500,3,208.756,7.64274e-15,1
cpu,levy,256,30,500,1,620.49,7.64274e-15,1
cpu,levy,256,30,500,2,619.759,7.64274e-15,1
cpu,levy,256,30,500,3,619.514,0.973711,0.999924
cpu,levy,1024,10,500,1,837.735,7.64274e-15,1
cpu,levy,1024,10,500,2,836.847,7.64274e-15,1
cpu,levy,1024,10,500,3,837.049,7.64274e-15,1
cpu,levy,1024,30,500,1,2522.48,7.64274e-15,1
cpu,levy,1024,30,500,2,2521.96,7.64274e-15,1
cpu,levy,1024,30,500,3,2522.59,7.64274e-15,1
