topology,sync_interval,seed,N,iters,eval_ms,reduce_ms,update_ms,sync_ms,total_ms,final_gbest
ring,1,42,1024,500,8.849,2.827,3.696,771.620,786.993,16.951759
ring,1,43,1024,500,9.235,3.059,4.050,810.667,827.012,27.858845
ring,1,44,1024,500,8.694,2.808,3.721,780.648,795.871,31.838707
ring,1,45,1024,500,8.530,2.808,3.697,771.801,786.836,34.823883
ring,1,46,1024,500,8.588,2.831,3.676,785.303,800.398,17.912945
ring,5,42,1024,500,7.447,2.818,3.677,164.418,178.360,36.813438
ring,5,43,1024,500,7.484,2.790,3.654,164.902,178.830,12.934965
ring,5,44,1024,500,7.321,2.819,3.664,166.043,179.847,23.879036
ring,5,45,1024,500,7.454,2.819,3.646,163.810,177.730,29.848778
ring,5,46,1024,500,7.540,2.781,3.673,174.343,188.336,30.843719
ring,10,42,1024,500,7.318,2.824,3.672,93.633,107.447,13.92943
ring,10,43,1024,500,7.318,2.840,3.680,89.328,103.167,12.934471
ring,10,44,1024,500,7.289,2.769,3.671,89.343,103.072,12.93449
ring,10,45,1024,500,7.323,2.803,3.669,87.147,100.943,17.910612
ring,10,46,1024,500,7.185,2.787,3.654,91.500,105.127,24.074028
ring,25,42,1024,500,7.074,2.822,3.680,44.411,57.988,5.071476
ring,25,43,1024,500,7.305,2.799,3.673,45.171,58.948,5.9766245
ring,25,44,1024,500,7.334,2.820,3.709,49.444,63.307,10.944625
ring,25,45,1024,500,7.239,2.824,3.658,45.242,58.962,10.945845
ring,25,46,1024,500,6.934,2.800,3.784,50.605,64.123,10.089285
ring,50,42,1024,500,7.143,2.803,3.701,28.416,42.063,7.9597015
ring,50,43,1024,500,6.689,2.765,3.738,29.721,42.913,11.940181
ring,50,44,1024,500,6.938,2.798,3.651,33.041,46.429,12.63524
ring,50,45,1024,500,6.574,2.806,3.640,35.323,48.343,11.023554
ring,50,46,1024,500,7.078,2.779,3.663,26.772,40.293,11.023554
ring,100,42,1024,500,6.069,2.840,3.682,17.246,29.836,16.922504
ring,100,43,1024,500,6.362,2.838,3.672,18.352,31.224,16.922504
ring,100,44,1024,500,5.732,2.738,3.619,21.686,33.776,16.91481
ring,100,45,1024,500,6.118,2.829,3.724,20.232,32.902,16.91481
ring,100,46,1024,500,5.935,2.789,3.611,27.474,39.809,16.91481
fc,1,42,1024,500,8.616,2.815,3.681,893.802,908.914,14.97408
fc,1,43,1024,500,8.704,2.785,3.636,892.075,907.201,37.839485
fc,1,44,1024,500,8.846,2.825,3.697,879.407,894.774,23.879051
fc,1,45,1024,500,8.725,2.821,3.685,883.712,898.943,24.874016
fc,1,46,1024,500,8.631,2.844,3.680,885.240,900.395,11.964304
fc,5,42,1024,500,7.274,2.808,3.688,194.774,208.544,33.011169
fc,5,43,1024,500,7.586,2.817,3.650,189.475,203.528,13.963107
fc,5,44,1024,500,7.408,2.848,3.669,184.891,198.816,23.887171
fc,5,45,1024,500,7.468,2.805,3.678,187.554,201.505,19.8992
fc,5,46,1024,500,7.429,2.832,3.679,188.851,202.790,29.849625
fc,10,42,1024,500,7.377,2.811,3.713,106.881,120.782,13.929499
fc,10,43,1024,500,7.357,2.791,3.647,99.438,113.233,17.909256
fc,10,44,1024,500,10.219,2.816,3.673,99.204,115.912,13.929428
fc,10,45,1024,500,7.274,2.831,3.708,121.055,134.869,18.905239
fc,10,46,1024,500,7.284,2.793,3.663,98.634,112.374,26.864811
fc,25,42,1024,500,7.292,2.816,3.692,52.112,65.912,6.9682064
fc,25,43,1024,500,7.178,2.808,3.688,45.969,59.644,6.9722309
fc,25,44,1024,500,7.258,2.784,3.671,59.011,72.724,10.944622
fc,25,45,1024,500,7.108,2.827,3.666,47.490,61.091,11.93953
fc,25,46,1024,500,7.196,2.812,3.690,49.197,62.895,15.91948
fc,50,42,1024,500,7.105,2.763,3.671,36.579,50.118,7.9599724
fc,50,43,1024,500,7.050,2.809,3.659,38.133,51.650,11.939693
fc,50,44,1024,500,6.856,2.825,3.738,39.785,53.204,16.914799
fc,50,45,1024,500,6.481,2.779,3.640,29.509,42.408,11.948542
fc,50,46,1024,500,7.016,2.839,3.693,34.892,48.441,11.948542
fc,100,42,1024,500,5.849,2.754,3.564,25.520,37.687,16.922504
fc,100,43,1024,500,6.402,2.882,3.687,32.558,45.529,16.922504
fc,100,44,1024,500,6.168,2.808,3.813,22.925,35.714,16.91481
fc,100,45,1024,500,6.081,2.784,3.665,23.672,36.201,16.91481
fc,100,46,1024,500,5.774,2.751,3.646,22.742,34.913,16.91481
